date,arena,age_group,host_club,team_count,game_count,furthest_travel,cancelled,cancellation_reason
2027-01-09,Askerhallen,U8,Frisk Asker,8,28,Skien~109km,nei,
2027-01-09,Jarhallen,U9,Jar,8,28,Sandefjord~114km,nei,
2027-01-10,Askerhallen,JU10,Frisk Asker,6,15,Skien~109km,nei,
2027-01-10,Ringerikshallen,JU12,Ringerike,4,6,Frisk Asker Orange~50km,nei,
2027-01-10,Jarhallen,U10,Jar,6,15,Kongsberg~75km,nei,
2027-01-10,Holmenkollen ishall,U7,Holmen,8,28,Sandefjord~104km,nei,
2027-01-16,Askerhallen,JU12,Frisk Asker,4,6,Skien~109km,nei,
2027-01-16,Baerum ishall,JU8,Jutul,5,10,Skien~121km,nei,
2027-01-16,Kongsberghallen,U12,Kongsberg,4,6,Ringerike 1~85km,nei,
2027-01-17,Holmenkollen ishall,U10,Holmen,6,15,Tønsberg~83km,nei,
2027-01-17,Askerhallen,U11,Frisk Asker,6,15,Skien~109km,nei,
2027-01-17,Tonsberghallen,U12,Tønsberg,4,6,Jar Hvit~92km,nei,
2027-01-17,Jarhallen,U8,Jar,8,28,Tønsberg~92km,nei,
2027-01-23,Ringerikshallen,U10,Ringerike,6,15,Frisk Asker 2~50km,nei,
2027-01-23,Jarhallen,U11,Jar,6,15,Sandefjord~114km,nei,
2027-01-23,Askerhallen,U12,Frisk Asker,4,6,Tønsberg Hvit~82km,nei,
2027-01-23,Baerum ishall,U9,Jutul,8,28,Skien~121km,nei,
2027-01-24,Askerhallen,U10,Frisk Asker,6,15,Ringerike 4~50km,nei,
2027-01-24,Bugården ishall,U11,Sandefjord Penguins,6,15,Ringerike 2~150km,nei,
2027-01-24,Jarhallen,U12,Jar,4,6,Tønsberg Hvit~92km,nei,
2027-01-30,Jarhallen,U11,Jar,6,15,Sandefjord~114km,nei,
2027-01-30,Holmenkollen ishall,U12,Holmen,4,6,Tønsberg Rød~83km,nei,
2027-01-30,Baerum ishall,U7,Jutul,8,28,Frisk Asker 3~12km,nei,
2027-01-30,Jarhallen,U9,Jar,8,28,Skien~122km,nei,
2027-01-31,Jarhallen,U10,Jar,6,15,Kongsberg~75km,nei,
2027-01-31,Kongsberghallen,U11,Kongsberg,6,15,Ringerike 1~85km,nei,
2027-01-31,Ringerikshallen,U12,Ringerike,4,6,Tønsberg Grå~131km,nei,
2027-01-31,Holmenkollen ishall,U8,Holmen,8,28,Kongsberg~64km,nei,
2027-02-06,Jarhallen,JU10,Jar,6,15,Skien~122km,nei,
2027-02-06,Jarhallen,U11,Jar,6,15,Tønsberg Grå~92km,nei,
2027-02-06,Baerum ishall,U12,Jutul,4,6,Ringerike 2~44km,nei,
2027-02-07,Skien ishall,JU12,Skien,4,6,Ringerike 1~147km,nei,
2027-02-07,Baerum ishall,U10,Jutul,6,15,Tønsberg~92km,nei,
2027-02-07,Jarhallen,U11,Jar,6,15,Tønsberg Rød~92km,nei,
2027-02-07,Holmenkollen ishall,U12,Holmen,4,6,Jar Svart~12km,nei,
2027-02-13,Askerhallen,JU8,Frisk Asker,5,10,Skien~109km,nei,
2027-02-13,Tonsberghallen,U11,Tønsberg,6,15,Ringerike 1~131km,nei,
2027-02-13,Askerhallen,U12,Frisk Asker,4,6,Tønsberg Rød~82km,nei,
2027-02-13,Holmenkollen ishall,U9,Holmen,8,28,Ringerike 1~49km,nei,
2027-02-14,Jarhallen,U10,Jar,6,15,Ringerike 3~45km,nei,
2027-02-14,Jarhallen,U11,Jar,6,15,Sandefjord~114km,nei,
2027-02-14,Tonsberghallen,U12,Tønsberg,4,6,Jar Blå~92km,nei,
2027-02-14,Baerum ishall,U8,Jutul,8,28,Skien~121km,nei,
2027-02-20,Ringerikshallen,JU12,Ringerike,4,6,Frisk Asker Svart~50km,nei,
2027-02-20,Askerhallen,U10,Frisk Asker,6,15,Tønsberg~82km,nei,
2027-02-20,Jarhallen,U12,Jar,4,6,Tønsberg Hvit~92km,nei,
2027-02-20,Holmenkollen ishall,U7,Holmen,8,28,Sandefjord~104km,nei,
2027-02-21,Askerhallen,JU12,Frisk Asker,4,6,Skien~109km,nei,
2027-02-21,Holmenkollen ishall,U10,Holmen,6,15,Kongsberg~64km,nei,
2027-02-21,Baerum ishall,U11,Jutul,6,15,Frisk Asker 2~12km,nei,
2027-02-21,Askerhallen,U12,Frisk Asker,3,3,Tønsberg Grå~82km,nei,
2027-02-27,Ringerikshallen,JU10,Ringerike,6,15,Skien~147km,nei,
2027-02-27,Jarhallen,U10,Jar,6,15,Ringerike 1~45km,nei,
2027-02-27,Holmenkollen ishall,U11,Holmen,6,15,Jar Gul~12km,nei,
2027-02-28,Jarhallen,U10,Jar,6,15,Ringerike 4~45km,nei,
2027-02-28,Askerhallen,U8,Frisk Asker,8,28,Ringerike 1~50km,nei,
2027-03-06,Askerhallen,U10,Frisk Asker,6,15,Ringerike 3~50km,nei,
2027-03-06,Jarhallen,U9,Jar,8,28,Sandefjord~114km,nei,
2027-03-07,Baerum ishall,U10,Jutul,3,3,Frisk Asker 3~12km,nei,
2027-03-13,Askerhallen,U7,Frisk Asker,8,28,Jar Grønn~14km,nei,
2027-03-13,Holmenkollen ishall,U8,Holmen,8,28,Sandefjord~104km,nei,
2027-03-13,Baerum ishall,U9,Jutul,8,28,Skien~121km,nei,
2027-03-14,Askerhallen,JU10,Frisk Asker,3,3,Jar Blå~14km,nei,
2027-03-14,Baerum ishall,U8,Jutul,8,28,Tønsberg~92km,nei,
2027-04-10,Baerum ishall,U7,Jutul,8,28,Sandefjord~114km,nei,
2027-04-10,Baerum ishall,U8,Jutul,8,28,Skien~121km,nei,
2027-04-10,Holmenkollen ishall,U9,Holmen,6,15,Jar Blå~12km,nei,
2027-04-11,Askerhallen,JU8,Frisk Asker,5,10,Skien~109km,nei,
2027-04-17,Bugården ishall,U7,Sandefjord Penguins,8,28,Jar Rød~114km,nei,
2027-04-18,Askerhallen,U8,Frisk Asker,5,10,Jar Blå~14km,nei,
