date,arena,age_group,host_club,team_count,game_count,furthest_travel,cancelled,cancellation_reason
2027-01-17,Kongsberghallen,JU12,Kongsberg,4,6,Ringerike 1~85km,nei,
2027-01-17,Skien ishall,JU8,Skien,7,21,Ringerike 1~147km,nei,
2027-01-17,Varner Arena / Askerhallen,U10,Frisk Asker,6,15,Ringerike 3~50km,nei,
2027-01-17,Tonsberghallen,U11,Tønsberg,6,15,Jar Gul~92km,nei,
2027-01-17,Jarhallen,U12,Jar,4,6,Frisk Asker 1~14km,nei,
2027-01-23,Varner Arena / Askerhallen,JU10,Frisk Asker,6,15,Ringerike 1~50km,nei,
2027-01-23,Jarhallen,U9,Jar,8,28,Tønsberg~92km,nei,
2027-01-24,Holmenkollen ishall,U10,Holmen,6,15,Ringerike 2~49km,nei,
2027-01-24,Jarhallen,U7,Jar,8,28,Sandefjord~114km,nei,
2027-01-30,Jarhallen,U8,Jar,8,28,Skien~122km,nei,
2027-01-31,Jarhallen,JU10,Jar,6,15,Skien~122km,nei,
2027-01-31,Baerum ishall,U10,Jutul,6,15,Kongsberg~73km,nei,
2027-01-31,Varner Arena / Askerhallen,U9,Frisk Asker,8,28,Jar Hvit~14km,nei,
2027-02-06,Ringerikshallen,U10,Ringerike,6,15,Tønsberg~131km,nei,
2027-02-06,Jarhallen,U9,Jar,8,28,Skien~122km,nei,
2027-02-07,Jarhallen,JU8,Jar,7,21,Skien~122km,nei,
2027-02-07,Holmenkollen ishall,U10,Holmen,6,15,Ringerike 1~49km,nei,
2027-02-13,Varner Arena / Askerhallen,U10,Frisk Asker,6,15,Ringerike 4~50km,nei,
2027-02-13,Baerum ishall,U8,Jutul,8,28,Tønsberg~92km,nei,
2027-02-13,Holmenkollen ishall,U9,Holmen,8,28,Kongsberg~64km,nei,
2027-02-14,Jarhallen,U7,Jar,8,28,Frisk Asker 3~14km,nei,
2027-02-20,Baerum ishall,U10,Jutul,6,15,Ringerike 2~44km,nei,
2027-02-27,Varner Arena / Askerhallen,U8,Frisk Asker,8,28,Jar Hvit~14km,nei,
2027-02-27,Baerum ishall,U9,Jutul,6,15,Frisk Asker 2~12km,nei,
2027-02-28,Jarhallen,JU8,Jar,7,21,Skien~122km,nei,
2027-03-06,Baerum ishall,U7,Jutul,8,28,Sandefjord~114km,nei,
2027-03-07,Varner Arena / Askerhallen,U7,Frisk Asker,8,28,Jar Grønn~14km,nei,
2027-03-13,Varner Arena / Askerhallen,U8,Frisk Asker,8,28,Skien~109km,nei,
2027-03-14,Holmenkollen ishall,U8,Holmen,8,28,Kongsberg~64km,nei,
2027-04-10,Baerum ishall,U8,Jutul,8,28,Frisk Asker 3~12km,nei,
2027-04-11,Holmenkollen ishall,U7,Holmen,8,28,Sandefjord~104km,nei,
2027-04-17,Varner Arena / Askerhallen,U7,Frisk Asker,8,28,Jar Rød~14km,nei,
